arc,originnode,destinationnode,capacity
1,1,9,183.0
2,1,180,187.0
3,1,211,108.0
4,1,217,111.0
5,1,254,172.0
6,1,378,139.0
7,1,397,93.0
8,2,8,192.0
9,2,40,147.0
10,2,89,168.0
11,2,129,100.0
12,2,137,153.0
13,2,189,129.0
14,2,230,87.0
15,2,300,101.0
16,2,301,104.0
17,2,303,175.0
18,2,305,182.0
19,2,355,167.0
20,3,25,191.0
21,3,72,133.0
22,3,126,122.0
23,3,132,134.0
24,3,171,190.0
25,3,215,143.0
26,3,298,161.0
27,3,342,189.0
28,3,374,73.0
29,3,386,94.0
30,3,388,81.0
31,4,75,176.0
32,4,100,118.0
33,4,125,106.0
34,4,202,167.0
35,4,205,70.0
36,4,234,90.0
37,5,13,126.0
38,5,53,169.0
39,5,68,90.0
40,5,112,149.0
41,5,154,171.0
42,5,178,81.0
43,5,190,174.0
44,5,249,121.0
45,5,264,188.0
46,5,269,171.0
47,5,270,144.0
48,5,344,77.0
49,5,351,164.0
50,5,368,143.0
51,6,20,83.0
52,6,119,169.0
53,6,135,145.0
54,6,174,192.0
55,6,248,120.0
56,6,252,90.0
57,6,253,141.0
58,6,288,98.0
59,6,297,68.0
60,6,304,88.0
61,6,333,138.0
62,6,364,84.0
63,6,398,109.0
64,7,28,173.0
65,7,31,155.0
66,7,95,154.0
67,7,111,87.0
68,7,123,75.0
69,7,162,138.0
70,7,193,184.0
71,7,199,151.0
72,7,236,105.0
73,7,283,73.0
74,8,2,148.0
75,8,40,182.0
76,8,65,147.0
77,8,74,76.0
78,8,121,154.0
79,8,129,97.0
80,8,137,115.0
81,8,296,184.0
82,8,305,150.0
83,8,355,145.0
84,9,1,118.0
85,9,10,145.0
86,9,108,181.0
87,9,117,104.0
88,9,191,88.0
89,9,217,117.0
90,9,378,74.0
91,9,397,187.0
92,10,9,97.0
93,10,141,101.0
94,10,176,174.0
95,10,216,101.0
96,10,268,103.0
97,10,347,71.0
98,10,397,165.0
99,11,73,66.0
100,11,77,163.0
101,11,118,65.0
102,11,136,164.0
103,11,148,149.0
104,11,198,137.0
105,11,204,85.0
106,11,232,107.0
107,11,286,152.0
108,11,289,165.0
109,11,361,77.0
110,11,389,104.0
111,12,27,176.0
112,12,35,79.0
113,12,101,185.0
114,12,219,168.0
115,12,237,161.0
116,12,255,160.0
117,13,5,134.0
118,13,53,171.0
119,13,63,114.0
120,13,68,91.0
121,13,159,81.0
122,13,178,153.0
123,13,200,88.0
124,13,221,133.0
125,13,264,79.0
126,13,269,182.0
127,13,270,155.0
128,13,294,157.0
129,13,351,79.0
130,13,380,190.0
131,14,107,103.0
132,14,167,98.0
133,14,192,98.0
134,14,206,126.0
135,14,243,92.0
136,14,267,178.0
137,14,281,149.0
138,14,331,168.0
139,15,34,68.0
140,15,235,94.0
141,15,262,176.0
142,15,392,119.0
143,16,22,165.0
144,16,70,120.0
145,16,71,165.0
146,16,78,138.0
147,16,171,123.0
148,16,184,127.0
149,16,188,97.0
150,16,215,99.0
151,16,233,88.0
152,16,327,190.0
153,16,343,191.0
154,17,32,157.0
155,17,47,125.0
156,17,85,124.0
157,17,93,182.0
158,17,133,109.0
159,17,135,73.0
160,17,153,108.0
161,17,174,65.0
162,17,187,98.0
163,17,218,116.0
164,17,250,100.0
165,17,253,86.0
166,17,288,176.0
167,17,297,66.0
168,17,308,107.0
169,17,333,146.0
170,17,352,109.0
171,18,30,115.0
172,18,69,169.0
173,18,80,114.0
174,18,116,79.0
175,18,163,166.0
176,18,306,162.0
177,18,359,65.0
178,18,363,162.0
179,19,58,108.0
180,19,85,116.0
181,19,99,139.0
182,19,102,110.0
183,19,194,72.0
184,19,237,144.0
185,19,251,73.0
186,19,284,151.0
187,19,314,105.0
188,19,323,169.0
189,19,345,75.0
190,19,357,172.0
191,19,370,132.0
192,19,371,82.0
193,19,377,89.0
194,20,6,109.0
195,20,60,93.0
196,20,160,124.0
197,20,203,164.0
198,20,228,103.0
199,20,252,129.0
200,20,304,171.0
201,20,364,82.0
202,20,398,190.0
203,21,55,126.0
204,21,142,189.0
205,21,192,127.0
206,21,212,159.0
207,21,220,134.0
208,21,239,74.0
209,21,246,155.0
210,21,266,110.0
211,21,278,176.0
212,21,299,116.0
213,21,328,130.0
214,21,336,152.0
215,21,337,95.0
216,21,339,124.0
217,21,354,192.0
218,21,372,70.0
219,22,16,175.0
220,22,70,173.0
221,22,71,154.0
222,22,171,149.0
223,22,188,73.0
224,22,215,121.0
225,22,233,138.0
226,22,327,95.0
227,22,343,140.0
228,22,374,178.0
229,23,56,158.0
230,23,122,123.0
231,23,161,106.0
232,23,180,125.0
233,23,214,66.0
234,23,217,173.0
235,23,224,128.0
236,23,254,88.0
237,23,257,74.0
238,23,367,99.0
239,23,378,171.0
240,24,31,177.0
241,24,103,134.0
242,24,162,112.0
243,24,182,93.0
244,24,261,164.0
245,24,265,177.0
246,24,302,96.0
247,24,319,101.0
248,24,346,96.0
249,24,394,182.0
250,25,3,163.0
251,25,72,118.0
252,25,109,93.0
253,25,132,78.0
254,25,298,165.0
255,25,341,88.0
256,25,342,108.0
257,25,386,103.0
258,25,388,188.0
259,26,48,184.0
260,26,82,139.0
261,26,94,144.0
262,26,119,144.0
263,26,124,171.0
264,26,135,95.0
265,26,156,112.0
266,26,157,107.0
267,26,166,135.0
268,26,213,107.0
269,26,225,109.0
270,26,226,86.0
271,26,244,165.0
272,26,287,133.0
273,26,293,103.0
274,26,365,176.0
275,27,12,108.0
276,27,35,186.0
277,27,43,94.0
278,27,216,165.0
279,27,219,122.0
280,27,229,116.0
281,28,7,99.0
282,28,59,105.0
283,28,81,127.0
284,28,86,72.0
285,28,123,159.0
286,28,131,129.0
287,28,152,116.0
288,28,199,180.0
289,28,245,164.0
290,28,279,189.0
291,28,348,162.0
292,28,369,89.0
293,29,36,138.0
294,29,84,103.0
295,29,90,69.0
296,29,111,135.0
297,29,130,121.0
298,29,143,148.0
299,29,151,76.0
300,29,193,136.0
301,29,199,166.0
302,29,236,158.0
303,29,283,131.0
304,29,320,109.0
305,29,324,113.0
306,29,346,130.0
307,29,358,155.0
308,30,18,98.0
309,30,69,153.0
310,30,80,101.0
311,30,116,115.0
312,30,163,87.0
313,30,275,113.0
314,30,306,167.0
315,30,359,158.0
316,30,363,164.0
317,31,7,113.0
318,31,24,68.0
319,31,95,92.0
320,31,103,170.0
321,31,111,86.0
322,31,162,171.0
323,31,236,93.0
324,31,261,193.0
325,31,346,160.0
326,31,394,166.0
327,32,17,134.0
