arc,originnode,destinationnode,capacity
1,1,31,79.0
2,1,49,71.0
3,1,63,121.0
4,1,136,118.0
5,1,156,108.0
6,1,232,66.0
7,1,273,98.0
8,1,288,127.0
9,1,295,62.0
10,1,343,117.0
11,1,364,79.0
12,1,367,85.0
13,1,376,121.0
14,1,389,115.0
15,2,7,91.0
16,2,39,61.0
17,2,79,133.0
18,2,184,96.0
19,2,193,107.0
20,2,265,49.0
21,2,320,48.0
22,2,326,55.0
23,3,18,128.0
24,3,42,110.0
25,3,44,97.0
26,3,68,133.0
27,3,83,53.0
28,3,88,81.0
29,3,170,64.0
30,3,210,133.0
31,3,255,139.0
32,3,274,95.0
33,3,383,82.0
34,4,13,87.0
35,4,86,116.0
36,4,151,63.0
37,4,166,71.0
38,4,175,97.0
39,4,208,101.0
40,4,245,89.0
41,4,313,81.0
42,5,28,95.0
43,5,30,130.0
44,5,37,128.0
45,5,95,109.0
46,5,97,125.0
47,5,100,134.0
48,5,126,50.0
49,5,145,88.0
50,5,182,90.0
51,5,191,68.0
52,5,209,48.0
53,5,218,116.0
54,5,233,72.0
55,5,279,57.0
56,5,344,115.0
57,5,363,94.0
58,6,17,140.0
59,6,49,64.0
60,6,51,113.0
61,6,109,70.0
62,6,111,71.0
63,6,116,91.0
64,6,122,85.0
65,6,123,62.0
66,6,144,100.0
67,6,147,89.0
68,6,230,120.0
69,6,234,116.0
70,6,236,109.0
71,6,286,125.0
72,6,328,66.0
73,6,331,64.0
74,6,337,118.0
75,6,362,56.0
76,6,380,70.0
77,7,2,118.0
78,7,12,116.0
79,7,35,72.0
80,7,39,123.0
81,7,79,112.0
82,7,133,90.0
83,7,184,106.0
84,7,193,74.0
85,7,320,66.0
86,7,323,140.0
87,7,326,112.0
88,7,352,63.0
89,8,129,53.0
90,8,167,122.0
91,8,266,134.0
92,8,302,114.0
93,8,319,132.0
94,8,340,129.0
95,8,367,126.0
96,8,386,105.0
97,9,16,77.0
98,9,62,79.0
99,9,75,57.0
100,9,80,96.0
101,9,99,79.0
102,9,113,81.0
103,9,117,139.0
104,9,165,133.0
105,9,177,55.0
106,9,206,140.0
107,9,221,119.0
108,9,264,63.0
109,9,270,56.0
110,9,351,75.0
111,9,397,56.0
112,10,65,56.0
113,10,74,84.0
114,10,82,103.0
115,10,120,71.0
116,10,135,75.0
117,10,189,55.0
118,10,194,95.0
119,10,215,72.0
120,10,217,113.0
121,10,269,99.0
122,10,290,77.0
123,10,353,131.0
124,11,56,103.0
125,11,174,75.0
126,11,287,70.0
127,12,7,121.0
