commodity,quantity
1,2
2,9
3,7
4,5
5,4
6,8
7,1
8,10
9,6
10,5
11,5
12,2
13,4
14,3
15,3
16,3
17,8
18,10
19,1
20,8
21,8
22,6
23,8
24,8
25,5
26,3
27,1
28,8
29,5
30,8
31,9
32,5
33,2
34,8
35,5
36,9
37,4
38,8
39,3
40,1
41,4
42,4
43,10
44,6
45,1
46,4
47,10
48,2
49,4
50,7
51,10
52,6
53,9
54,1
55,8
56,1
57,1
58,3
59,3
60,8
61,8
62,8
63,1
64,5
65,2
66,4
67,9
68,9
69,9
70,5
71,2
72,3
73,8
74,8
75,5
76,8
77,9
78,8
79,9
80,1
81,1
82,4
83,2
84,8
85,2
86,1
87,10
88,2
89,4
90,7
91,1
92,10
93,6
94,7
95,1
96,9
97,8
98,2
99,9
100,3
101,5
102,4
103,1
104,6
105,3
106,6
107,5
108,10
109,4
110,3
111,9
112,9
113,5
114,7
115,6
116,10
117,10
118,3
119,9
120,5
121,2
122,5
123,10
124,1
125,5
126,6
127,9
128,6
129,10
130,1
131,6
132,2
133,6
134,3
135,6
136,9
137,8
138,4
139,3
140,5
141,1
142,3
143,8
144,8
145,1
146,5
147,4
148,6
149,4
150,7
151,5
152,3
153,5
154,3
155,10
156,3
157,7
158,2
159,5
160,1
161,7
162,9
163,3
164,6
165,7
166,5
167,1
168,10
169,7
170,4
171,4
172,9
173,1
174,5
175,4
176,4
177,8
178,1
179,4
180,7
181,7
182,7
183,3
184,1
185,10
186,3
187,1
188,1
189,2
190,2
191,4
192,7
193,8
194,8
195,5
196,6
197,5
198,2
199,6
200,7
201,8
202,4
203,4
204,2
205,10
206,3
207,4
208,4
209,10
210,7
211,10
212,8
213,7
214,10
215,6
216,6
217,2
218,10
219,2
220,7
221,2
222,1
223,10
224,1
225,6
226,10
227,3
228,4
229,1
230,3
231,1
232,8
233,2
234,1
235,3
236,4
237,7
238,4
239,7
240,1
241,10
242,3
243,8
244,9
245,8
246,6
247,9
248,3
249,7
250,8
251,4
252,7
253,6
254,6
255,1
256,2
257,6
258,9
259,1
260,4
261,6
262,2
263,10
264,3
265,2
266,10
267,1
268,2
269,7
270,5
271,10
272,9
273,2
274,1
275,4
276,2
277,3
278,7
279,9
280,4
281,5
282,10
283,1
284,2
285,4
286,1
287,8
288,1
289,9
290,1
291,6
292,5
293,8
294,5
295,10
296,8
297,5
298,4
299,5
300,10
301,9
302,6
303,10
304,10
305,7
306,2
307,2
308,6
309,3
310,4
311,10
312,8
313,5
314,2
315,3
316,7
317,1
318,7
319,9
320,5
321,6
322,7
323,9
324,7
325,3
326,4
327,3
328,4
329,1
330,4
331,10
332,1
333,3
334,9
335,5
336,1
337,10
338,3
339,3
340,1
341,6
342,6
343,1
344,10
345,10
346,3
347,9
348,7
349,4
350,2
351,3
352,8
353,10
354,2
355,3
356,10
357,2
358,5
359,10
360,7
361,6
362,1
363,8
364,10
365,10
366,9
367,4
368,6
369,10
370,2
371,5
372,3
373,8
374,5
375,4
376,6
377,1
378,8
379,3
380,9
381,7
382,8
383,9
384,8
385,7
386,3
387,2
388,4
389,1
390,8
391,4
392,2
393,2
394,5
395,3
396,2
397,5
398,4
399,2
400,2
