experiment_id,randomseed,numcom,numnodes,radius,gamma_init,gamma_arc,gamma_node,optgap,numarcs,total_time,goodinstance_flag
56,15896,300,150,0.15,200,32178,200,0.01,1330,3636.199511,1
54,35561,300,150,0.15,200,27912,238,0.01,1406,3612.051009,1
53,90276,300,150,0.15,200,41406,200,0.01,1468,3604.989975,1
49,43561,100,50,0.3,200,28899,120,0.01,544,3601.524499,1
42,75757,100,50,0.3,200,23438,102,0.01,550,2941.626867,0
42,75757,100,50,0.3,200,23438,150,0.01,550,2490.145983,0
49,43561,100,50,0.3,200,28899,122,0.01,544,1429.909016,0
49,43561,100,50,0.3,200,28899,118,0.01,544,917.38502,0
49,43561,100,50,0.3,200,28899,150,0.01,544,814.0185089,0
44,34094,100,50,0.3,200,10828,93,0.01,524,589.9127841,0
44,34094,100,50,0.3,200,10828,92,0.01,524,588.537926,0
44,34094,100,50,0.3,200,10828,92,0.01,524,584.6155539,0
44,34094,100,50,0.3,200,10828,92,0.01,524,576.3629849,0
44,34094,100,50,0.3,200,10828,92,0.01,524,575.7659318,0
44,34094,100,50,0.3,200,10828,92,0.01,524,573.783185,0
44,34094,100,50,0.3,200,10828,92,0.01,524,572.271915,0
44,34094,100,50,0.3,200,10828,92,0.01,524,454.6744251,0
46,3273,100,50,0.3,200,14686,110,0.01,524,423.639971,0
44,34094,100,50,0.3,200,10828,94,0.01,524,382.2472801,0
44,34094,100,50,0.3,200,10828,92,0.01,524,356.7919331,0
50,40184,100,50,0.3,200,12099,75,0.01,480,339.0675368,0
44,34094,100,50,0.3,200,10828,92,0.01,524,320.697866,0
44,34094,100,50,0.3,200,10828,92,0.01,524,316.8464022,0
44,34094,100,50,0.3,200,10828,92,0.01,524,313.857574,0
44,34094,100,50,0.3,200,10828,92,0.01,524,276.1855521,0
48,33228,100,50,0.3,200,9200,99,0.01,472,230.4522791,0
48,33228,100,50,0.3,200,9200,100,0.01,472,210.248785,0
45,20744,100,50,0.3,200,18538,266,0.01,590,150.0776851,0
43,56555,100,50,0.3,200,9769,137,0.01,488,78.73355603,0
43,56555,100,50,0.3,200,9769,136,0.01,488,77.92222214,0
43,56555,100,50,0.3,200,9769,136,0.01,488,77.79350114,0
43,56555,100,50,0.3,200,9769,136,0.01,488,76.94809818,0
43,56555,100,50,0.3,200,9769,136,0.01,488,76.21299005,0
43,56555,100,50,0.3,200,9769,136,0.01,488,76.10279393,0
43,56555,100,50,0.3,200,9769,136,0.01,488,76.00517011,0
43,56555,100,50,0.3,200,9769,136,0.01,488,75.05790496,0
43,56555,100,50,0.3,200,9769,136,0.01,488,73.75520396,0
54,35561,300,150,0.15,200,27912,5100,0.01,1406,72.36020303,0
43,56555,100,50,0.3,200,9769,136,0.01,488,70.27500105,0
43,56555,100,50,0.3,200,9769,136,0.01,488,65.01346588,0
43,56555,100,50,0.3,200,9769,136,0.01,488,63.91867208,0
60,95185,300,150,0.15,200,14059,556,0.01,1374,62.75558209,0
60,95185,300,150,0.15,200,14059,563,0.01,1374,49.03181601,0
55,43885,300,150,0.15,200,19523,344,0.01,1506,45.14728999,0
55,43885,300,150,0.15,200,19523,344,0.01,1506,44.08572817,0
51,19749,300,150,0.15,200,24334,254,0.01,1294,41.04613805,0
50,40184,100,50,0.3,200,12099,56,0.01,480,40.41555095,0
50,40184,100,50,0.3,200,12099,56,0.01,480,40.37398005,0
50,40184,100,50,0.3,200,12099,56,0.01,480,40.20808387,0
50,40184,100,50,0.3,200,12099,56,0.01,480,40.06208205,0
50,40184,100,50,0.3,200,12099,56,0.01,480,40.03893685,0
50,40184,100,50,0.3,200,12099,56,0.01,480,40.03182387,0
50,40184,100,50,0.3,200,12099,59,0.01,480,39.95515704,0
50,40184,100,50,0.3,200,12099,56,0.01,480,39.92383003,0
50,40184,100,50,0.3,200,12099,56,0.01,480,39.78752995,0
50,40184,100,50,0.3,200,12099,56,0.01,480,39.717309,0
50,40184,100,50,0.3,200,12099,56,0.01,480,39.71136093,0
50,40184,100,50,0.3,200,12099,56,0.01,480,39.53129196,0
55,43885,300,150,0.15,200,19523,344,0.01,1506,38.62105012,0
60,95185,300,150,0.15,200,14059,659,0.01,1374,38.49009299,0
60,95185,300,150,0.15,200,14059,558,0.01,1374,37.96791196,0
55,43885,300,150,0.15,200,19523,348,0.01,1506,34.88887405,0
55,43885,300,150,0.15,200,19523,344,0.01,1506,34.47112298,0
55,43885,300,150,0.15,200,19523,344,0.01,1506,34.45896792,0
55,43885,300,150,0.15,200,19523,344,0.01,1506,31.43124795,0
55,43885,300,150,0.15,200,19523,344,0.01,1506,29.79249406,0
45,20744,100,50,0.3,200,18538,262,0.01,590,28.39692903,0
45,20744,100,50,0.3,200,18538,262,0.01,590,28.31851411,0
45,20744,100,50,0.3,200,18538,264,0.01,590,28.30517697,0
45,20744,100,50,0.3,200,18538,262,0.01,590,28.19919896,0
45,20744,100,50,0.3,200,18538,262,0.01,590,28.14607811,0
45,20744,100,50,0.3,200,18538,262,0.01,590,28.10785294,0
45,20744,100,50,0.3,200,18538,262,0.01,590,28.05201292,0
51,19749,300,150,0.15,200,24334,257,0.01,1294,27.96202588,0
57,93848,300,150,0.15,200,25522,382,0.01,1442,26.57254696,0
55,43885,300,150,0.15,200,19523,334,0.01,1506,25.46806788,0
51,19749,300,150,0.15,200,24334,256,0.01,1294,24.71444893,0
57,93848,300,150,0.15,200,25522,392,0.01,1442,24.26123691,0
51,19749,300,150,0.15,200,24334,256,0.01,1294,23.45657992,0
55,43885,300,150,0.15,200,19523,314,0.01,1506,23.11500192,0
51,19749,300,150,0.15,200,24334,252,0.01,1294,23.0596509,0
51,19749,300,150,0.15,200,24334,5100,0.01,1294,21.06244802,0
52,97302,300,150,0.15,200,13260,334,0.01,1422,20.74654603,0
57,93848,300,150,0.15,200,25522,391,0.01,1442,19.93946099,0
52,97302,300,150,0.15,200,13260,334,0.01,1422,19.54649591,0
52,97302,300,150,0.15,200,13260,334,0.01,1422,19.544842,0
52,97302,300,150,0.15,200,13260,334,0.01,1422,19.52574015,0
52,97302,300,150,0.15,200,13260,334,0.01,1422,19.13848996,0
58,88714,300,150,0.15,200,14041,348,0.01,1400,18.97976589,0
52,97302,300,150,0.15,200,13260,334,0.01,1422,18.96799803,0
52,97302,300,150,0.15,200,13260,344,0.01,1422,18.66614008,0
55,43885,300,150,0.15,200,19523,5100,0.01,1506,18.62813497,0
