experiment_id,randomseed,numcom,numnodes,radius,gamma_init,gamma_arc,gamma_node,optgap,numarcs,total_time,goodinstance_flag
59,15909,300,150,0.15,25000,12500.0,200,0.01,1402,Inf,0
59,15909,300,150,0.15,25000,6250.0,200,0.01,1402,Inf,0
59,15909,300,150,0.15,25000,3125.0,200,0.01,1402,Inf,0
59,15909,300,150,0.15,25000,1562.0,200,0.01,1402,Inf,0
59,15909,300,150,0.15,25000,781.0,200,0.01,1402,Inf,0
59,15909,300,150,0.15,25000,390.0,200,0.01,1402,Inf,0
59,15909,300,150,0.15,25000,195.0,200,0.01,1402,Inf,0
59,15909,300,150,0.15,25000,98.0,200,0.01,1402,Inf,0
59,15909,300,150,0.15,25000,49.0,200,0.01,1402,Inf,0
59,15909,300,150,0.15,25000,24.0,200,0.01,1402,Inf,0
59,15909,300,150,0.15,25000,12.0,200,0.01,1402,Inf,0
59,15909,300,150,0.15,25000,6.0,200,0.01,1402,Inf,0
59,15909,300,150,0.15,25000,3.0,200,0.01,1402,Inf,0
59,15909,300,150,0.15,25000,2.0,200,0.01,1402,Inf,0
59,15909,300,150,0.15,25000,1.0,200,0.01,1402,Inf,0
59,15909,300,150,0.15,25000,0.0,200,0.01,1402,Inf,0
